19:48:10: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 55] Logger initialized
19:48:10: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 70] Command created
19:48:10: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 4.00) m/s
19:48:10: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE ALTITUDE: 1.00
19:48:11: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 1.00) m/s
19:48:11: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE ALTITUDE: -1.00
19:48:11: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.67) m/s
19:48:12: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.50) m/s
19:48:12: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.40) m/s
19:48:13: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.33) m/s
19:48:13: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 0.00, 0.29) m/s
19:48:14: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 2.50, 0.25) m/s
19:48:14: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 63.43
19:48:14: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 4.44, 0.22) m/s
19:48:14: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 90.00
19:48:15: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (0.00, 6.00, 0.20) m/s
19:48:15: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 116.57
19:48:15: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (1.82, 5.45, 0.18) m/s
19:48:15: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 45.00
19:48:16: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (3.33, 5.00, 0.17) m/s
19:48:16: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 63.43
19:48:16: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (4.62, 4.62, 0.15) m/s
19:48:16: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 87] Action taken: CHANGE YAW: 90.00
19:48:17: [INFO] [C:\Users\danie\OneDrive - University of Waterloo\Co-op Grind\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 99] Average velocity: (4.29, 2.86, 0.14) m/s
